DateTime         | Product | Slot | Amount Accepted | Balance
02-11-2022 03:34 PM | Heavy | C4 | $5.0 | $5.0
02-11-2022 03:36 PM | Crunchie | B4 | $2.0 | $2.0
02-11-2022 03:44 PM | Dr. Salt | C2 | $7.0 | $7.0
02-11-2022 04:02 PM | Cola | C1 | $16.0 | $16.0
02-11-2022 04:03 PM | Potato Crisps | A1 | $4.0 | $4.0
02-11-2022 04:03 PM | ChangeTendered | N/A | $0.95 | 0.00
02-11-2022 05:39 PM | U-Chews | D1 | $10.0 | $10.0
02-11-2022 06:10 PM | U-Chews | D1 | $10.0 | $10.0
02-11-2022 06:38 PM | Grain Waves | A3 | $10.0 | $10.0
02-11-2022 07:00 PM | Dr. Salt | C2 | $10.0 | $10.0
02-11-2022 07:00 PM | ChangeTendered | N/A | $8.5 | 0.00
02-11-2022 07:03 PM | Heavy | C4 | $10.0 | $10.0
02-11-2022 07:03 PM | ChangeTendered | N/A | $8.5 | 0.00
02-11-2022 07:16 PM | Crunchie | B4 | $5.0 | $5.0
02-11-2022 07:16 PM | ChangeTendered | N/A | $3.25 | 0.00
02-11-2022 07:50 PM | Crunchie | B4 | $10.0 | $10.0
02-11-2022 07:56 PM | Cowtales | B2 | $10.0 | $10.0
02-11-2022 08:35 PM | ChangeTendered | N/A | $10.0 | 0.00
02-11-2022 08:35 PM | Cloud Popcorn | A4 | $0.0 | $0.0
02-11-2022 08:36 PM | Moonpie | B1 | $0.0 | $0.0
02-11-2022 09:11 PM | Fed Money | N/A | 10 | 0
02-11-2022 09:11 PM | Fed Money | N/A | 5 | 1000
02-11-2022 09:11 PM | Grain Waves | A3 | $15.0 | $15.0
02-11-2022 09:11 PM | Mountain Melter | C3 | $12.25 | $12.25
02-11-2022 09:13 PM | Fed Money | N/A | 10 | $0.0
02-11-2022 09:13 PM | Mountain Melter | C3 | $10.0 | $10.0
02-11-2022 09:13 PM | Dispensed Change | N/A | $8.5 | 0.00
02-11-2022 09:18 PM | Fed Money | N/A | 10 | $0.0
02-11-2022 09:18 PM | Cloud Popcorn | A4 | $10.0 | $10.0
02-11-2022 09:18 PM | Dispensed Change | N/A | $6.35 | 0.00
02-11-2022 09:24 PM | Fed Money | N/A | 2 | $0
02-11-2022 09:26 PM | Fed Money | N/A | 2 | $0
02-11-2022 09:26 PM | Crunchie | B4 | $2.0 | $2.0
02-11-2022 09:26 PM | Dispensed Change | N/A | $0.25 | 0.00
02-11-2022 09:28 PM | Fed Money | N/A | 2 | $2
02-11-2022 09:29 PM | Crunchie | B4 | $2.0 | $2.0
02-11-2022 09:29 PM | Dispensed Change | N/A | $0.25 | 0.00
02-11-2022 09:42 PM | Fed Money | N/A | 5 | $5
02-11-2022 09:43 PM | Chiclets | D3 | $5.0 | $5.0
02-11-2022 09:43 PM | U-Chews | D1 | $4.25 | $4.25
02-11-2022 09:43 PM | Potato Crisps | A1 | $3.4 | $3.4
02-11-2022 09:43 PM | Dispensed Change | N/A | $0.35 | 0.00
02-11-2022 09:53 PM | Fed Money | N/A | 5 | $5
02-11-2022 09:53 PM | Heavy | C4 | $5.0 | $5.0
02-11-2022 09:54 PM | Grain Waves | A3 | $3.5 | $3.5
02-11-2022 09:54 PM | Dispensed Change | N/A | $0.75 | 0.00
02-11-2022 09:55 PM | Fed Money | N/A | 10 | $10
02-11-2022 09:55 PM | Wonka Bar | B3 | $10.0 | $10.0
02-11-2022 09:55 PM | Moonpie | B1 | $8.5 | $8.5
02-11-2022 09:55 PM | Cloud Popcorn | A4 | $6.7 | $6.7
02-11-2022 09:56 PM | Fed Money | N/A | 10 | $10
02-11-2022 09:57 PM | Heavy | C4 | $10.0 | $10.0
02-11-2022 09:57 PM | Cowtales | B2 | $8.5 | $8.5
02-11-2022 09:57 PM | Wonka Bar | B3 | $7.0 | $7.0
02-11-2022 09:57 PM | Cola | C1 | $5.5 | $5.5
02-11-2022 09:57 PM | Chiclets | D3 | $4.25 | $4.25
02-11-2022 09:58 PM | Triplemint | D4 | $3.5 | $3.5
02-11-2022 09:58 PM | Grain Waves | A3 | $2.75 | $2.75
02-11-2022 09:58 PM | Dispensed Change | N/A | $0.0 | 0.00
02-11-2022 09:58 PM | Dispensed Change | N/A | $0.0 | 0.00
02-11-2022 10:02 PM | Fed Money | N/A | 5 | $5
02-11-2022 10:02 PM | Grain Waves | A3 | $5.0 | $5.0
02-11-2022 10:02 PM | Dispensed Change | N/A | $2.25 | 0.00
02-11-2022 10:05 PM | Fed Money | N/A | 5 | $5
02-11-2022 10:05 PM | Wonka Bar | B3 | $5.0 | $5.0
02-11-2022 10:05 PM | Dispensed Change | N/A | $3.5 | 0.00
02-11-2022 10:29 PM | Fed Money | N/A | 2 | $2
02-11-2022 10:30 PM | Fed Money | N/A | 2 | $202
02-11-2022 10:31 PM | Cloud Popcorn | A4 | $4.0 | $4.0
02-11-2022 10:31 PM | Dispensed Change | N/A | $0.35 | 0.00
02-12-2022 09:09 AM | Fed Money | N/A | 5 | $5
02-12-2022 09:09 AM | Grain Waves | A3 | $5.0 | $5.0
02-12-2022 09:09 AM | Dispensed Change | N/A | $2.25 | 0.00
02-12-2022 09:33 AM | Fed Money | N/A | 2 | $2
02-12-2022 09:33 AM | Fed Money | N/A | 5 | $5
02-12-2022 09:34 AM | Stackers | A2 | $5.0 | $5.0
02-12-2022 09:34 AM | Dispensed Change | N/A | $3.55 | 0.00
02-12-2022 09:51 AM | Fed Money | N/A | 5 | $5
02-12-2022 09:51 AM | Cloud Popcorn | A4 | $5.0 | $5.0
02-12-2022 09:51 AM | Dispensed Change | N/A | $1.35 | 0.00
02-12-2022 11:34 AM | Fed Money | N/A | 5 | $5
02-12-2022 11:34 AM | Little League Chew | D2 | $5.0 | $5.0
02-12-2022 11:34 AM | Dispensed Change | N/A | $4.05 | 0.00
02-12-2022 11:37 AM | Fed Money | n/a | $5 | $5
02-12-2022 11:37 AM | Crunchie | B4 | $5.0 | $5.0
02-12-2022 11:58 AM | Fed Money | n/a | $5 | $5
02-12-2022 11:58 AM | Chiclets | D3 | $5.0 | $5.0
02-12-2022 11:58 AM | Stackers | A2 | $4.25 | $4.25
02-12-2022 12:14 PM | Dispensed Change | n/a | $0.0 | 0.00
02-12-2022 12:41 PM | Fed Money | n/a | $5 | $5
